,Price,Address,Bd,Ba,Parking,Sqft,Maint. Fee,Time on market
41,"$549,900",305 - 381 Front St W,1+1BD,1BA,0 Parking,678 sqft,Maint. Fee $519,6 days
42,"$649,900",1204 - 88 Scott St,1+1BD,1BA,0 Parking,670 sqft,Maint. Fee $361,7 days
43,"$549,000",407 - 5 St Joseph St,1BD,1BA,0 Parking,501 sqft,Maint. Fee $343,7 days
44,"$488,800",321 - 350 Wellington St W,1BD,1BA,0 Parking,615 sqft,Maint. Fee $687,7 days
45,"$579,990",1407 - 832 Bay St,1BD,1BA,0 Parking,512 sqft,Maint. Fee $303,7 days
46,"$599,000",2907 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,590 sqft,Maint. Fee $361,7 days
47,"$519,900",711 - 705 King St W,1+1BD,1BA,1 Parking,752 sqft,Maint. Fee $643,7 days
48,"$539,000",419 - 218 King St E,1BD,1BA,0 Parking,660 sqft,Maint. Fee $376,7 days
49,"$633,800",1049 - 151 Dan Leckie Way,1+1BD,1BA,1 Parking,618 sqft,Maint. Fee $479,8 days
50,"$560,000",1003 - 25 Lower Simcoe St,1BD,1BA,0 Parking,547 sqft,Maint. Fee $419,8 days
51,"$548,000",326 - 560 Front St W,1BD,1BA,0 Parking,555 sqft,Maint. Fee $394,8 days
52,"$557,800",715 - 111 Elizabeth St,1BD,1BA,0 Parking,597 sqft,Maint. Fee $394,8 days
53,"$539,900",501 - 80 Queens Wharf Rd,1BD,1BA,0 Parking,507 sqft,Maint. Fee $339,8 days
54,"$618,800",#809 - 15 Beverley St,1BD,1BA,0 Parking,560 sqft,Maint. Fee $616,8 days
55,"$619,000",1607 - 38 Elm St,1BD,1BA,0 Parking,749 sqft,Maint. Fee $670,8 days
56,"$629,900",3004 - 1 King St W,1BD,1BA,1 Parking,591 sqft,Maint. Fee $861,8 days
57,"$605,000",605 - 51 Lower Simcoe St,1BD,1BA,1 Parking,547 sqft,Maint. Fee $384,9 days
58,"$639,999",1103 - 55 Bremner Blvd,1+1BD,1BA,0 Parking,607 sqft,Maint. Fee $517,9 days
59,"$619,000",431 - 775 King St W,1BD,1BA,1 Parking,674 sqft,Maint. Fee $344,9 days
60,"$529,000",313 - 410 Queens Quay W,1BD,1BA,0 Parking,600 sqft,Maint. Fee $526,9 days
61,"$599,900",1411 - 318 Richmond St W,1+1BD,1BA,0 Parking,627 sqft,Maint. Fee $417,9 days
62,"$495,000",538 - 151 Dan Leckie Way,1BD,1BA,0 Parking,575 sqft,Maint. Fee $394,9 days
63,"$549,900",207 - 1 Shaw St,1BD,1BA,1 Parking,564 sqft,Maint. Fee $411,9 days
64,"$559,900",519 - 1 Shaw St,1BD,1BA,0 Parking,615 sqft,Maint. Fee $374,10 days
65,"$619,900",1907 - 35 Balmuto St,1BD,1BA,0 Parking,568 sqft,Maint. Fee $541,10 days
66,"$598,000",805 - 318 Richmond St W,1BD,1BA,0 Parking,585 sqft,Maint. Fee $425,10 days
67,"$549,000",911 - 110 Charles St E,1BD,1BA,0 Parking,545 sqft,Maint. Fee $361,10 days
68,"$579,999",508 - 77 Lombard St,1BD,2BA,0 Parking,640 sqft,Maint. Fee $546,10 days
